name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,anweight,ppltrst,pplfair,pplhlp,polintr,trstprl,trstplt,prtclgfr,happy,gndr,agea,eduyrs,hinctnta,prob,stratum,psu
ESS11e04_2,11,4.2,02.07.2026,81496,FR,1.007500410079956,1.603642463684082,3.184376906,5.106602026836534,4,5,2,1,77,6,66,8,2,16,12,77,1.212006900459528e-4,661,9312
ESS11e04_2,11,4.2,02.07.2026,81510,FR,0.9914103746414183,0.8871254324913025,3.184376906,2.8249417399505656,3,5,5,2,77,5,5,6,1,84,11,8,1.231677015312016e-4,660,9553
ESS11e04_2,11,4.2,02.07.2026,81511,FR,0.9977903366088868,0.9643056988716124,3.184376906,3.070712797810953,4,6,3,1,2,1,9,7,1,41,13,8,1.2238016643095762e-4,652,9468
ESS11e04_2,11,4.2,02.07.2026,81520,FR,0.997140884399414,1.109445333480835,3.184376906,3.5328920984058394,7,5,3,3,5,5,66,5,1,30,13,88,1.224598818225786e-4,649,9485
ESS11e04_2,11,4.2,02.07.2026,81523,FR,1.0102577209472656,0.7226368188858032,3.184376906,2.3011479974852564,8,9,6,3,8,6,5,10,2,60,18,8,1.2086990318493918e-4,658,9387
ESS11e04_2,11,4.2,02.07.2026,81538,FR,0.993111491203308,0.7949489951133728,3.184376906,2.531417221486931,7,8,6,1,3,3,66,5,1,51,12,2,1.2295672786422074e-4,654,9410
ESS11e04_2,11,4.2,02.07.2026,81545,FR,0.988541841506958,0.7331814765930176,3.184376906,2.334726161969785,5,7,8,2,6,5,66,5,999,62,12,1,1.2352511112112552e-4,648,9475
ESS11e04_2,11,4.2,02.07.2026,81557,FR,0.9994892477989196,0.7146873474121094,3.184376906,2.27583388410952,5,5,4,3,2,88,9,7,1,1980,13,6,1.221721468027681e-4,662,9529
ESS11e04_2,11,4.2,02.07.2026,81596,FR,0.9967845678329468,0.7744466662406921,3.184376906,2.46613007890555,8,9,6,3,6,4,2,8,2,41,17,5,1.225036394316703e-4,657,9570
ESS11e04_2,11,4.2,02.07.2026,81605,FR,0.990227222442627,1.0611801147460938,3.184376906,3.37919745050389,1,2,2,4,6,6,66,5,2,83,10,1,1.233148796018213e-4,645,9518
ESS11e04_2,11,4.2,02.07.2026,81636,FR,1.0016095638275146,0.9815635085105896,3.184376906,3.1256681682734557,8,5,3,4,8,6,66,8,1,75,8,4,1.2191351561341436e-4,643,9443
ESS11e04_2,11,4.2,02.07.2026,81641,FR,0.9893606901168824,1.2420446872711182,3.184376906,3.9551384183661407,7,9,6,2,6,4,2,8,2,19,16,5,1.2342288391664624e-4,649,9299
ESS11e04_2,11,4.2,02.07.2026,81646,FR,0.9990290403366088,0.751179039478302,3.184376906,2.3920371855859672,5,7,7,3,5,2,3,8,1,70,15,7,1.2222843361087143e-4,656,9420
ESS11e04_2,11,4.2,02.07.2026,81675,FR,1.0004289150238037,1.1169275045394895,3.184376906,3.556718151131761,8,8,5,3,7,8,5,9,3,22,16,88,1.2205740495119244e-4,661,9496
ESS11e04_2,11,4.2,02.07.2026,81682,FR,0.9883246421813964,0.637876033782959,3.184376906,2.0312377108693305,3,8,0,2,6,99,88,7,1,63,16,10,1.2355225044302642e-4,652,9461
ESS11e04_2,11,4.2,02.07.2026,81699,FR,0.9876084923744202,0.9028086066246032,3.184376906,2.874882877473425,10,10,8,3,6,6,66,6,1,45,17,9,1.236418611370027e-4,662,9511
ESS11e04_2,11,4.2,02.07.2026,81713,FR,0.9887039065361024,0.6148003935813904,3.184376906,1.95775617512029,5,5,2,2,3,3,9,8,1,59,150,6,1.2350486940704286e-4,653,9564
ESS11e04_2,11,4.2,02.07.2026,81717,FR,1.0065927505493164,0.6302632689476013,3.184376906,2.0069957983368085,5,5,3,3,5,5,66,5,1,61,12,3,1.2130996765336022e-4,643,9450
ESS11e04_2,11,4.2,02.07.2026,81731,FR,1.0106914043426514,0.7496094107627869,3.184376906,2.3870388961532862,0,0,0,4,0,-1,66,5,2,59,11,2,1.2081803288310766e-4,649,9550
ESS11e04_2,11,4.2,02.07.2026,81738,FR,0.9923677444458008,0.7385470271110535,3.184376906,2.3518120971273944,0,4,5,2,0,4,9,5,2,75,12,1,1.23048885143362e-4,662,9446
ESS11e04_2,11,4.2,02.07.2026,81742,FR,0.989917814731598,0.9219313859939576,3.184376906,2.93577701447573,4,5,6,3,5,0,66,8,2,80,12,6,1.2335341307334602e-4,659,9502
ESS11e04_2,11,4.2,02.07.2026,81786,FR,0.9995038509368896,1.8998773097991943,3.184376906,6.049925429557962,7,7,7,1,7,5,66,5,2,63,12,1,1.2217035691719502e-4,663,9363
ESS11e04_2,11,4.2,02.07.2026,81888,FR,1.0007227659225464,1.7236474752426147,3.184376906,5.488743214247789,2,3,8,2,4,4,2,4,2,19,14,5,1.2202155630802736e-4,642,9585
ESS11e04_2,11,4.2,02.07.2026,81896,FR,0.9976764917373656,0.7501627802848816,3.184376906,2.388801033279929,2,7,3,2,2,3,66,7,1,83,8,4,1.2239412171766162e-4,657,9396
ESS11e04_2,11,4.2,02.07.2026,81944,FR,1.00588059425354,0.719257652759552,3.184376906,2.2903874589112845,6,6,2,3,6,4,66,6,1,71,12,4,1.2139586760895328e-4,662,9272
ESS11e04_2,11,4.2,02.07.2026,81989,FR,1.0078994035720823,0.7501057386398315,3.184376906,2.3886193911827514,3,4,4,3,4,2,4,6,2,64,12,10,1.2115270510548726e-4,662,9271
ESS11e04_2,11,4.2,02.07.2026,82018,FR,0.9883246421813964,0.7969605326652527,3.184376906,2.5378227152126893,8,8,5,1,60,99,2,7,1,39,17,8,1.2355225044302642e-4,652,9461
ESS11e04_2,11,4.2,02.07.2026,82032,FR,0.9868563413619996,1.0063296556472778,3.184376906,3.2045329152661237,3,3,3,9,77,3,66,4,2,67,5,1,1.2373608478810638e-4,653,9522
ESS11e04_2,11,4.2,02.07.2026,82063,FR,0.989611029624939,0.794981062412262,3.184376906,2.5315193358529515,2,2,2,Not at all,99,0,66,7,1,59,12,4,1.2339165550656617e-4,647,9536
ESS11e04_2,11,4.2,02.07.2026,82089,FR,0.9925038814544678,1.1887202262878418,3.184376906,3.7853332362860974,3,5,4,2,0,3,10,9,2,51,13,9,1.2303200492169708e-4,663,9555
ESS11e04_2,11,4.2,02.07.2026,82128,FR,0.9914478659629822,0.7353377342224121,3.184376906,2.341592498968214,8,10,1,2,8,8,5,9,2,64,12,8,1.2316305947024375e-4,648,9490
ESS11e04_2,11,4.2,02.07.2026,82131,FR,1.0066765546798706,0.7821324467658997,3.184376906,2.490604500914605,6,9,5,3,7,8,66,7,2,-5,14,6,1.2129988317610696e-4,656,9422
ESS11e04_2,11,4.2,02.07.2026,82201,FR,1.005337476730347,0.8417516350746155,3.184376906,2.680454467319345,5,5,4,3,4,4,2,6,1,26,15,7,1.2146145309088752e-4,648,9488
